eid,probe,stage,bz,cls
2008-09-15_thd,thd,no_bg,1.43,
2008-09-15_the,the,no_bg,1.75,
2008-09-16_tha,tha,no_sheath,-0.9,
2008-09-16_thb,thb,contrib,-1.26,AMBIGUOUS
2008-09-16_thc,thc,contrib,-1.24,AMBIGUOUS
2008-09-16_thd,thd,no_bg,-1.27,
2008-09-16_the,the,no_bg,-1.34,
2008-09-17_tha,tha,no_sheath,4.08,
2008-09-17_thb,thb,contrib,-1.31,AMBIGUOUS
2008-09-17_thc,thc,no_bg,-1.31,
2008-09-17_thd,thd,no_sheath,2.14,
2008-09-17_the,the,no_bg,0.87,
2008-09-18_tha,tha,no_bg,-3.13,
